"dataset","method","threshold","samples","base_tokens","mean_tokens","token_ratio","std_tokens","p50_tokens","p90_tokens","min_tokens","max_tokens"
"cifar100","a4_learned_apt","0.0","1000","196","196.0","1.0","0.0","196.0","196.0","196","196"
"cifar100","a4_learned_apt","0.25","1000","196","193.105","0.9852295918367346","9.418172593449325","196.0","196.0","115","196"
"cifar100","a4_learned_apt","0.5","1000","196","192.478","0.982030612244898","10.348792973095945","196.0","196.0","109","196"
"cifar100","a4_learned_apt","0.75","1000","196","191.407","0.9765663265306123","11.788526243767707","196.0","196.0","103","196"
"cifar100","a4_learned_apt","1.0","1000","196","189.388","0.966265306122449","14.698893019544023","196.0","196.0","91","196"
"cifar100","a4_learned_apt","1.25","1000","196","187.675","0.9575255102040817","16.228967157524227","196.0","196.0","76","196"
"cifar100","a4_learned_apt","1.5","1000","196","185.317","0.9454948979591837","17.90481809458002","193.0","196.0","76","196"
"cifar100","a4_learned_apt","1.75","1000","196","182.371","0.9304642857142857","19.795942993451966","190.0","196.0","73","196"
"cifar100","a4_learned_apt","2.0","1000","196","178.744","0.9119591836734694","21.60176992748511","187.0","196.0","67","196"
"cifar100","a4_learned_apt","2.25","1000","196","174.316","0.8893673469387755","23.39846456500939","184.0","196.0","67","196"
"cifar100","a4_learned_apt","2.5","1000","196","168.838","0.8614183673469388","25.615342199549083","175.0","196.0","67","196"
"cifar100","a4_learned_apt","2.75","1000","196","162.526","0.8292142857142858","27.283682376101655","169.0","193.0","55","196"
"cifar100","a4_learned_apt","3.0","1000","196","154.861","0.7901071428571428","28.79791101798879","160.0","187.0","49","196"
"cifar100","a4_learned_apt","3.25","1000","196","145.66","0.7431632653061224","29.6228695436482","151.0","181.0","49","196"
"cifar100","a4_learned_apt","3.5","1000","196","135.178","0.6896836734693877","30.277257405518093","139.0","172.0","49","196"
"cifar100","a4_learned_apt","3.75","1000","196","122.839","0.6267295918367347","30.08017750944964","124.0","160.0","49","193"
"cifar100","a4_learned_apt","4.0","1000","196","109.036","0.5563061224489796","28.624756837395143","109.0","148.0","49","190"
"cifar100","a4_learned_apt","4.25","1000","196","94.858","0.48396938775510207","26.009187530563118","94.0","130.0","49","175"
"cifar100","a4_learned_apt","4.5","1000","196","80.857","0.4125357142857143","21.972586352088822","79.0","112.0","49","163"
"cifar100","a4_learned_apt","4.75","1000","196","68.512","0.34955102040816327","16.756009548815612","64.0","91.0","49","145"
"cifar100","a4_learned_apt","5.0","1000","196","58.867","0.3003418367346939","11.142679704631197","55.0","76.0","49","115"
"cifar100","a4_learned_apt","5.25","1000","196","52.741","0.26908673469387756","6.049290784877182","49.0","61.0","49","88"
"cifar100","a4_learned_apt","5.5","1000","196","49.777","0.2539642857142857","2.2727232563600874","49.0","52.0","49","73"
"cifar100","a4_learned_apt","5.75","1000","196","49.036","0.25018367346938775","0.3531345352694919","49.0","49.0","49","55"
"cifar100","a4_learned_apt","6.0","1000","196","49.0","0.25","0.0","49.0","49.0","49","49"
