"dataset","method","threshold","samples","base_tokens","mean_tokens","token_ratio","std_tokens","p50_tokens","p90_tokens","min_tokens","max_tokens"
"dtd","a4_learned_apt","0.0","188","196","196.0","1.0","0.0","196.0","196.0","196","196"
"dtd","a4_learned_apt","0.25","188","196","195.88829787234042","0.9994300911854103","0.9964144637712233","196.0","196.0","184","196"
"dtd","a4_learned_apt","0.5","188","196","195.87234042553192","0.9993486756404689","1.1083248098416174","196.0","196.0","184","196"
"dtd","a4_learned_apt","0.75","188","196","195.79255319148936","0.9989415979157621","1.8834519780322632","196.0","196.0","172","196"
"dtd","a4_learned_apt","1.0","188","196","195.56914893617022","0.9978017802865827","3.615937728815179","196.0","196.0","148","196"
"dtd","a4_learned_apt","1.25","188","196","194.91489361702128","0.9944637429439861","7.047195872794635","196.0","196.0","112","196"
"dtd","a4_learned_apt","1.5","188","196","194.1968085106383","0.990800043421624","11.760400124612744","196.0","196.0","49","196"
"dtd","a4_learned_apt","1.75","188","196","193.41489361702128","0.9868106817194963","12.855919718059589","196.0","196.0","49","196"
"dtd","a4_learned_apt","2.0","188","196","191.70744680851064","0.9780992184107685","18.60692355333119","196.0","196.0","49","196"
"dtd","a4_learned_apt","2.25","188","196","190.35106382978722","0.9711788970907511","20.882756526494816","196.0","196.0","49","196"
"dtd","a4_learned_apt","2.5","188","196","187.39893617021278","0.9561170212765958","25.179470676507815","196.0","196.0","49","196"
"dtd","a4_learned_apt","2.75","188","196","183.01063829787233","0.9337277464177159","33.311551469343236","196.0","196.0","49","196"
"dtd","a4_learned_apt","3.0","188","196","178.41489361702128","0.9102800694745984","38.2216129051848","196.0","196.0","49","196"
"dtd","a4_learned_apt","3.25","188","196","172.75","0.8813775510204082","43.04100284068571","194.5","196.0","49","196"
"dtd","a4_learned_apt","3.5","188","196","165.77659574468086","0.8457989578810248","47.04856120876919","190.0","196.0","49","196"
"dtd","a4_learned_apt","3.75","188","196","156.28191489361703","0.7973567086409032","50.155824130458896","181.0","196.0","49","196"
"dtd","a4_learned_apt","4.0","188","196","143.7872340425532","0.733608336951802","53.59925617545682","166.0","196.0","49","196"
"dtd","a4_learned_apt","4.25","188","196","127.95744680851064","0.6528441163699522","56.65581318760943","139.0","196.0","49","196"
"dtd","a4_learned_apt","4.5","188","196","111.8563829787234","0.570695831524099","54.676861297858366","106.0","193.0","49","196"
"dtd","a4_learned_apt","4.75","188","196","94.2872340425532","0.48105731654363876","50.97290109009854","73.0","187.0","49","196"
"dtd","a4_learned_apt","5.0","188","196","78.8563829787234","0.4023284845853235","44.70465266497303","52.0","160.0","49","196"
"dtd","a4_learned_apt","5.25","188","196","65.30851063829788","0.3332066869300912","33.14636355515847","49.0","118.0","49","196"
"dtd","a4_learned_apt","5.5","188","196","54.42553191489362","0.27768128528006947","17.21020810492827","49.0","61.0","49","169"
"dtd","a4_learned_apt","5.75","188","196","49.68617021276596","0.2535008684324794","4.447377928522908","49.0","49.0","49","103"
"dtd","a4_learned_apt","6.0","188","196","49.0","0.25","0.0","49.0","49.0","49","49"
