"dataset","method","threshold","samples","base_tokens","mean_tokens","token_ratio","std_tokens","p50_tokens","p90_tokens","min_tokens","max_tokens"
"oxford_pets","a4_learned_apt","0.0","500","196","196.0","1.0","0.0","196.0","196.0","196","196"
"oxford_pets","a4_learned_apt","0.25","500","196","195.238","0.9961122448979591","4.348948838512589","196.0","196.0","142","196"
"oxford_pets","a4_learned_apt","0.5","500","196","194.95","0.994642857142857","4.9326970310368745","196.0","196.0","139","196"
"oxford_pets","a4_learned_apt","0.75","500","196","194.554","0.9926224489795918","5.734377385558087","196.0","196.0","139","196"
"oxford_pets","a4_learned_apt","1.0","500","196","193.912","0.9893469387755103","6.942640419897893","196.0","196.0","133","196"
"oxford_pets","a4_learned_apt","1.25","500","196","193.054","0.984969387755102","8.21018172758679","196.0","196.0","133","196"
"oxford_pets","a4_learned_apt","1.5","500","196","191.908","0.9791224489795918","9.73198520344128","196.0","196.0","130","196"
"oxford_pets","a4_learned_apt","1.75","500","196","190.492","0.9718979591836734","11.507299248737732","196.0","196.0","130","196"
"oxford_pets","a4_learned_apt","2.0","500","196","188.8","0.963265306122449","13.46060919869528","196.0","196.0","112","196"
"oxford_pets","a4_learned_apt","2.25","500","196","186.82","0.9531632653061224","14.880846750101286","193.0","196.0","106","196"
"oxford_pets","a4_learned_apt","2.5","500","196","184.276","0.9401836734693878","16.523311532498564","190.0","196.0","100","196"
"oxford_pets","a4_learned_apt","2.75","500","196","180.496","0.9208979591836736","18.192910267464082","187.0","196.0","97","196"
"oxford_pets","a4_learned_apt","3.0","500","196","175.888","0.8973877551020408","20.320518103631116","181.0","196.0","94","196"
"oxford_pets","a4_learned_apt","3.25","500","196","170.326","0.8690102040816327","22.623786685698747","175.0","196.0","91","196"
"oxford_pets","a4_learned_apt","3.5","500","196","162.76","0.8304081632653061","24.918715857764422","166.0","193.0","85","196"
"oxford_pets","a4_learned_apt","3.75","500","196","153.088","0.7810612244897959","26.92181747208015","154.0","187.0","70","196"
"oxford_pets","a4_learned_apt","4.0","500","196","141.334","0.7210918367346939","28.878754197506513","142.0","178.0","67","196"
"oxford_pets","a4_learned_apt","4.25","500","196","127.81","0.6520918367346938","29.41547041949185","127.0","169.0","49","193"
"oxford_pets","a4_learned_apt","4.5","500","196","111.232","0.5675102040816327","28.155677509163226","112.0","148.0","49","190"
"oxford_pets","a4_learned_apt","4.75","500","196","93.694","0.47803061224489796","24.812665394914752","91.0","127.0","49","175"
"oxford_pets","a4_learned_apt","5.0","500","196","76.018","0.3878469387755102","19.36754181614177","73.0","100.30000000000007","49","166"
"oxford_pets","a4_learned_apt","5.25","500","196","61.726","0.31492857142857145","12.503716407532602","58.0","79.0","49","145"
"oxford_pets","a4_learned_apt","5.5","500","196","52.438","0.26754081632653065","5.6926405120998105","49.0","58.0","49","103"
"oxford_pets","a4_learned_apt","5.75","500","196","49.216","0.25110204081632653","1.1177405781307217","49.0","49.0","49","64"
"oxford_pets","a4_learned_apt","6.0","500","196","49.0","0.25","0.0","49.0","49.0","49","49"
